label,profile,start_update
A,101010,299701
B,010101,297249
A,101010,293738
B,010101,290835
A,101010,287643
B,010101,284674
A,101010,281864
B,010101,278816
A,101010,276063
B,010101,271428
A,101010,268423
B,010101,264498
A,101010,259979
B,010101,256233
A,101010,254122
B,010101,251098
A,101010,248793
B,010101,245165
A,101010,242212
B,010101,238179
A,101010,236166
B,010101,232839
A,101010,229093
B,010101,226042
A,101010,223826
B,010101,221093
A,101010,217852
B,010101,215202
A,101010,212425
B,010101,209672
A,101010,206097
B,010101,204363
A,101010,201114
B,010101,198736
A,101010,195349
B,010101,190877
A,101010,187311
B,010101,184917
A,101010,182196
B,010101,179942
A,101010,176535
B,010101,174082
A,101010,171292
B,010101,168694
A,101010,166191
B,010101,163146
A,101010,159916
B,010101,157075
A,101010,153119
B,010101,150020
A,101010,147884
B,010101,145955
A,101010,142633
B,010101,139192
A,101010,136204
B,010101,132199
A,101010,129287
B,010101,125470
A,101010,122314
B,010101,119441
A,101010,117138
B,010101,114492
A,101010,111393
B,010101,108119
A,101010,106432
B,010101,102422
A,101010,99226
B,010101,96433
A,101010,94025
B,010101,90998
A,101010,86956
B,010101,83799
A,101010,80865
B,010101,76411
A,101010,74212
B,010101,71861
A,101010,68433
B,010101,64849
A,101010,62066
B,010101,59349
A,101010,56445
B,010101,54055
A,101010,50097
B,010101,47319
A,101010,44888
B,010101,41837
A,101010,38765
B,010101,35199
A,101010,31880
B,010101,28378
A,101010,25619
B,010101,21804
A,101010,20068
B,010101,16281
A,101010,12851
B,010101,10597
A,101010,7756
B,010101,4960
A,101010,2989
B,010101,728
A,101010,0
