label,profile,start_update
A,101010,299701
B,010101,297185
A,101010,294702
B,010101,291337
A,101010,287222
B,010101,283317
A,101010,280661
B,010101,277780
A,101010,274563
B,010101,271190
A,101010,268504
B,010101,266673
A,101010,264108
B,010101,262025
A,101010,257966
B,010101,255971
A,101010,253153
B,010101,251296
A,101010,247690
B,010101,245874
A,101010,242434
B,010101,239480
A,101010,236472
B,010101,232755
A,101010,229876
B,010101,226861
A,101010,223962
B,010101,220575
A,101010,217572
B,010101,215643
A,101010,212733
B,010101,209270
A,101010,207163
B,010101,204576
A,101010,201739
B,010101,199578
A,101010,197741
B,010101,194543
A,101010,190303
B,010101,187798
A,101010,185541
B,010101,182845
A,101010,179527
B,010101,176293
A,101010,171899
B,010101,168813
A,101010,166752
B,010101,163248
A,101010,161618
B,010101,158086
A,101010,154859
B,010101,152659
A,101010,150223
B,010101,147664
A,101010,145026
B,010101,141696
A,101010,138122
B,010101,135438
A,101010,131390
B,010101,128557
A,101010,125728
B,010101,122710
A,101010,119166
B,010101,115794
A,101010,112906
B,010101,109989
A,101010,105946
B,010101,102607
A,101010,98908
B,010101,95721
A,101010,92154
B,010101,89028
A,101010,85808
B,010101,83221
A,101010,80933
B,010101,78260
A,101010,74732
B,010101,71499
A,101010,68834
B,010101,65615
A,101010,63087
B,010101,60477
A,101010,58190
B,010101,55083
A,101010,51616
B,010101,49089
A,101010,45961
B,010101,42142
A,101010,38316
B,010101,35353
A,101010,32955
B,010101,29637
A,101010,26823
B,010101,23622
A,101010,20165
B,010101,17732
A,101010,16189
B,010101,13343
A,101010,12039
B,010101,9754
A,101010,6675
B,010101,3960
A,101010,1482
B,010101,0
