label,profile,start_update
A,101010,299701
B,010101,296857
A,101010,292915
B,010101,290421
A,101010,285699
B,010101,281879
A,101010,278417
B,010101,275833
A,101010,272966
B,010101,270442
A,101010,267927
B,010101,265822
A,101010,262607
B,010101,259289
A,101010,256973
B,010101,253423
A,101010,251288
B,010101,248017
A,101010,244937
B,010101,240764
A,101010,237886
B,010101,235579
A,101010,232227
B,010101,229245
A,101010,226462
B,010101,223086
A,101010,220930
B,010101,217061
A,101010,212863
B,010101,210604
A,101010,208285
B,010101,204001
A,101010,201515
B,010101,197916
A,101010,195225
B,010101,191955
A,101010,189603
B,010101,185582
A,101010,182644
B,010101,180282
A,101010,178031
B,010101,174942
A,101010,171681
B,010101,169475
A,101010,166430
B,010101,163804
A,101010,161470
B,010101,158824
A,101010,154920
B,010101,152063
A,101010,149572
B,010101,146731
A,101010,143033
B,010101,140255
A,101010,137251
B,010101,135687
A,101010,132596
B,010101,128700
A,101010,125288
B,010101,122664
A,101010,119203
B,010101,116262
A,101010,113644
B,010101,111010
A,101010,107663
B,010101,106284
A,101010,102940
B,010101,100916
A,101010,97822
B,010101,95160
A,101010,90205
B,010101,87484
A,101010,84783
B,010101,80810
A,101010,77044
B,010101,73165
A,101010,69501
B,010101,65983
A,101010,62396
B,010101,59004
A,101010,57126
B,010101,54509
A,101010,52179
B,010101,49089
A,101010,46814
B,010101,43548
A,101010,41030
B,010101,36441
A,101010,34271
B,010101,31862
A,101010,28944
B,010101,26408
A,101010,22797
B,010101,19730
A,101010,17377
B,010101,13928
A,101010,10632
B,010101,6696
A,101010,2347
B,010101,0
